"","means","scales","optimal_k","low_bound","upper_bound"
"sum.of.sum",59347347.4898799,176822950.601473,9,-2.606,36.269
"sum.of.max",-107276.032688621,4323029.06168945,9,-2.606,36.269
"sum.of.skewness",52.4281934742217,91.3482260099132,9,-2.606,36.269
"mean.of.min",4.04206635588699e+20,2.77094426890937e+21,9,-2.606,36.269
"mean.of.max",-610553.624879113,3099127.06705602,9,-2.606,36.269
"mean.of.kurtosis",27.6982950038761,50.1929749639438,9,-2.606,36.269
"std.of.min",-805266.140440269,3435028.79795814,9,-2.606,36.269
"min.of.mean",4.04206635588698e+20,2.77094426890937e+21,9,-2.606,36.269
"min.of.std",-322145.725325748,2208399.424576,9,-2.606,36.269
"min.of.min",3.43575640250394e+21,7.39848982683187e+21,9,-2.606,36.269
"min.of.max",3.63785972029829e+21,7.56402462565675e+21,9,-2.606,36.269
"min.of.skewness",-3.72037946684468,7.23633015149249,9,-2.606,36.269
"kurtosis.of.std",8.4250973231369,16.5505680858906,9,-2.606,36.269
"kurtosis.of.min",6.98483761837542,12.5286673580512,9,-2.606,36.269
"skew.of.skewness",0.581037100659134,1.21354252421173,9,-2.606,36.269
"mean.of.Levels",-644269.756678666,3089388.37276572,9,-2.606,36.269
"std.of.Levels",-1288565.99522385,4271951.94878116,9,-2.606,36.269
"min.of.Levels",-1771805.08421053,4922175.78856793,9,-2.606,36.269
"kurtosis.of.Levels",-161071.221125161,1569947.45637271,9,-2.606,36.269
"skew.of.Levels",0.940084580321942,1.96390487280465,9,-2.606,36.269
"numFeatures",-322123.642105263,2208402.68053882,9,-2.606,36.269
"logNumFeatures",2.65349089892597,1.30513002937986,9,-2.606,36.269
"numPatterns",1298.18947368421,1488.94303718212,9,-2.606,36.269
"logNumPatterns",6.45824689621338,1.43066434395624,9,-2.606,36.269
"percNA",-3543610.16842105,6489241.0188495,9,-2.606,36.269
"numNumericFeatures",-161059.515789474,1569948.67053026,9,-2.606,36.269
"numCatFeatures",3.34736842105263,5.78105567377166,9,-2.606,36.269
"classProbMax",0.674356796748681,0.191374775213413,9,-2.606,36.269
"classProbMean",1.41472322456045e+21,5.04268308377116e+21,9,-2.606,36.269
"PCAFractionOfComponentsFor95PercentVariance",0.261317694464134,0.243320774155395,9,-2.606,36.269
"PCAKurtosisFirstPC",27.1472587079217,97.2902054181004,9,-2.606,36.269
"PCASkewnessFirstPC",-0.0542452506650149,4.74621392774934,9,-2.606,36.269
