metafeatures,means,scales,n_boot,percentage,enableLog,step,count
sum.of.sum,115947160.957123,516416515.593433,50,0.95,0,0.1,0
sum.of.max,1182322.63115835,12717238.2720816,,,,,
sum.of.skewness,271.0893224366,2416.1995822721,,,,,
mean.of.min,3.25420596448528E+020,2.48889804345563E+021,,,,,
mean.of.max,-480610.782788513,2792590.47238355,,,,,
mean.of.kurtosis,27.2908692047,51.6168109944,,,,,
std.of.min,-648113.836631343,3095603.37994175,,,,,
min.of.mean,3.25420596448528E+020,2.48889804345563E+021,,,,,
min.of.std,-259348.81262399,1983613.72352379,,,,,
min.of.min,2.76607506981249E+021,6.77092902542437E+021,,,,,
min.of.max,2.92878536803676E+021,6.93265145801544E+021,,,,,
min.of.skewness,-4.1946033731,8.5365031932,,,,,
kurtosis.of.std,8.2627861595,16.3462782116,,,,,
kurtosis.of.min,8.3452952237,16.3176025955,,,,,
skew.of.skewness,0.5604511037,1.1845634501,,,,,
mean.of.Levels,-518677.852407947,2780969.99546485,,,,,
std.of.Levels,-1037379.2552397,3863274.10055087,,,,,
min.of.Levels,-1426453.16101695,4467876.53393257,,,,,
kurtosis.of.Levels,-129674.930836531,1408659.19847424,,,,,
skew.of.Levels,0.9816528605,2.0241623414,,,,,
numFeatures,-259209.271186441,1983632.40629396,,,,,
logNumFeatures,2.7081555097,1.4751945449,,,,,
numPatterns,1334.686440678,1411.1722089824,,,,,
logNumPatterns,6.506047797,1.4444977995,,,,,
percNA,-2852906.48489703,5984941.17740419,,,,,
numNumericFeatures,-129633.720338983,1408663.0663992,,,,,
numCatFeatures,3.686440678,7.4152754703,,,,,
classProbMax,0.6860416608,0.1908125968,,,,,
classProbMean,1.13897208756985E+021,4.55484521612714E+021,,,,,
PCAFractionOfComponentsFor95PercentVariance,0.2730927312,0.2509788051,,,,,
PCAKurtosisFirstPC,23.8507110221,89.5424167721,,,,,
PCASkewnessFirstPC,0.0658909601,4.4458217753,,,,,
